Index;tmsp;country;amount;success;PSP;3D_secured;card
66;43466,0515;Germany;270;0;Simplecard;0;Master
67;43466,05207;Germany;270;0;UK_Card;0;Master
68;43466,05369;Austria;256;0;UK_Card;0;Master
69;43466,05382;Austria;256;0;UK_Card;0;Master
70;43466,05451;Austria;256;0;UK_Card;0;Master
71;43466,05459;Austria;256;1;Moneycard;0;Master
72;43466,05536;Germany;310;0;Goldcard;0;Visa
73;43466,05598;Germany;310;0;Simplecard;0;Visa
74;43466,05615;Germany;310;0;UK_Card;0;Visa
75;43466,05671;Germany;310;0;UK_Card;0;Visa
76;43466,05675;Germany;310;0;Simplecard;0;Visa
77;43466,05679;Germany;310;0;UK_Card;0;Visa
78;43466,05707;Germany;310;1;UK_Card;0;Visa
79;43466,05792;Austria;239;0;Simplecard;0;Master
80;43466,06008;Germany;37;0;UK_Card;0;Master
81;43466,06031;Germany;37;0;Simplecard;0;Master
82;43466,06053;Germany;37;0;Moneycard;0;Master
83;43466,06113;Germany;37;0;UK_Card;0;Master
84;43466,06113;Germany;37;0;UK_Card;0;Master
85;43466,06172;Germany;37;0;Simplecard;0;Master
86;43466,06635;Germany;56;0;Simplecard;1;Visa
87;43466,06661;Germany;56;0;UK_Card;1;Visa
88;43466,06662;Germany;56;0;Moneycard;1;Visa
89;43466,06733;Germany;192;0;Goldcard;1;Diners
90;43466,06737;Germany;192;0;Simplecard;1;Diners
91;43466,06823;Germany;324;0;UK_Card;0;Visa
92;43466,06831;Germany;324;0;UK_Card;0;Visa
93;43466,06848;Germany;324;0;UK_Card;0;Visa
94;43466,06869;Germany;324;1;Simplecard;0;Visa
95;43466,07001;Germany;105;0;UK_Card;0;Master
96;43466,07023;Germany;105;0;Simplecard;0;Master
97;43466,07084;Germany;105;0;UK_Card;0;Master
98;43466,07106;Germany;105;0;Moneycard;0;Master
99;43466,0717;Germany;105;0;Goldcard;0;Master
100;43466,07241;Germany;228;0;UK_Card;0;Diners
101;43466,07251;Germany;228;0;UK_Card;0;Diners
102;43466,07311;Germany;228;1;UK_Card;0;Diners
103;43466,07388;Germany;322;0;UK_Card;0;Master
104;43466,07457;Germany;322;0;Moneycard;0;Master
105;43466,07944;Austria;367;0;Moneycard;0;Visa
106;43466,07995;Austria;367;0;UK_Card;0;Visa
107;43466,08006;Austria;367;1;UK_Card;0;Visa
108;43466,08157;Switzerland;190;0;UK_Card;0;Diners
109;43466,08159;Switzerland;190;0;Simplecard;0;Diners
110;43466,08194;Switzerland;190;0;UK_Card;0;Diners
111;43466,08257;Switzerland;190;0;UK_Card;0;Diners
112;43466,0828;Switzerland;190;0;UK_Card;0;Diners
113;43466,08458;Germany;186;0;UK_Card;0;Master
114;43466,08473;Germany;186;1;UK_Card;0;Master
115;43466,08587;Germany;121;0;Moneycard;1;Master
116;43466,08602;Germany;121;0;UK_Card;1;Master
117;43466,08633;Germany;121;1;UK_Card;1;Master
118;43466,08806;Germany;274;1;UK_Card;0;Master
119;43466,0895;Germany;264;0;Simplecard;1;Master
120;43466,09034;Germany;132;0;UK_Card;0;Master
121;43466,09036;Germany;132;0;Simplecard;0;Master
122;43466,09066;Germany;132;0;Moneycard;0;Master
123;43466,09084;Germany;132;0;Simplecard;0;Master
124;43466,09116;Germany;132;0;Moneycard;0;Master
125;43466,09251;Germany;228;0;Simplecard;0;Diners
126;43466,09326;Switzerland;279;0;UK_Card;1;Master
127;43466,09365;Switzerland;279;0;Simplecard;1;Master
128;43466,09374;Switzerland;279;0;UK_Card;1;Master
129;43466,09394;Switzerland;279;1;UK_Card;1;Master
130;43466,09484;Austria;104;1;Moneycard;0;Master
131;43466,0959;Switzerland;184;0;Simplecard;0;Master
132;43466,09731;Austria;258;0;UK_Card;0;Diners
133;43466,10008;Austria;209;1;UK_Card;0;Master
134;43466,10134;Germany;260;0;UK_Card;0;Master
135;43466,10137;Germany;260;0;UK_Card;0;Master
136;43466,10181;Germany;260;0;UK_Card;0;Master
137;43466,10185;Germany;260;0;Moneycard;0;Master
138;43466,10336;Switzerland;383;0;UK_Card;0;Master
139;43466,10419;Germany;109;0;Moneycard;0;Master
140;43466,10503;Austria;161;0;Simplecard;0;Master
141;43466,10625;Germany;127;0;Simplecard;0;Master
142;43466,10653;Germany;127;0;Moneycard;0;Master
143;43466,1067;Germany;127;0;Moneycard;0;Master
144;43466,10889;Germany;233;1;Simplecard;1;Visa
145;43466,11016;Germany;129;0;UK_Card;1;Master
146;43466,11076;Germany;129;0;Goldcard;1;Master
147;43466,11078;Germany;129;0;UK_Card;1;Master
148;43466,11116;Germany;129;1;UK_Card;1;Master
149;43466,11325;Germany;243;0;Simplecard;0;Master
150;43466,11326;Germany;243;0;Moneycard;0;Master
151;43466,11332;Germany;243;1;UK_Card;0;Master
152;43466,11613;Switzerland;131;0;UK_Card;0;Master
153;43466,11619;Switzerland;131;1;UK_Card;0;Master
154;43466,11704;Germany;225;0;UK_Card;0;Master
155;43466,11794;Switzerland;246;0;Simplecard;0;Diners
156;43466,12182;Germany;126;1;UK_Card;1;Diners
157;43466,12265;Germany;82;0;UK_Card;1;Master
158;43466,12295;Germany;82;0;UK_Card;1;Master
159;43466,12344;Germany;82;0;UK_Card;1;Master
160;43466,12376;Germany;82;0;UK_Card;1;Master
161;43466,12398;Germany;82;1;Moneycard;1;Master
162;43466,12472;Austria;329;0;UK_Card;0;Master
163;43466,12497;Austria;329;0;Moneycard;0;Master
164;43466,12531;Austria;329;1;UK_Card;0;Master
165;43466,12677;Germany;335;1;UK_Card;0;Master
166;43466,13161;Germany;173;0;UK_Card;1;Master
167;43466,13206;Germany;173;1;UK_Card;1;Master
168;43466,13412;Germany;222;0;UK_Card;0;Master
169;43466,13426;Germany;222;1;UK_Card;0;Master
170;43466,13701;Switzerland;181;0;Simplecard;1;Master
171;43466,13751;Switzerland;181;0;Simplecard;1;Master
172;43466,13767;Switzerland;181;0;UK_Card;1;Master
173;43466,13836;Switzerland;181;1;Simplecard;1;Master
174;43466,14037;Germany;85;0;Goldcard;1;Diners
175;43466,14041;Germany;85;0;UK_Card;1;Diners
176;43466,1405;Germany;85;0;UK_Card;1;Diners
177;43466,14112;Germany;85;0;Simplecard;1;Diners
178;43466,14177;Germany;85;1;UK_Card;1;Diners
179;43466,14569;Germany;62;0;Moneycard;0;Master
180;43466,14578;Germany;62;0;UK_Card;0;Master
181;43466,14646;Germany;62;0;UK_Card;0;Master
182;43466,14712;Germany;62;0;UK_Card;0;Master
183;43466,14713;Germany;62;0;UK_Card;0;Master
184;43466,14758;Germany;62;0;UK_Card;0;Master
185;43466,14789;Germany;62;0;Goldcard;0;Master
186;43466,14953;Austria;291;0;UK_Card;0;Master
187;43466,14964;Austria;291;1;UK_Card;0;Master
188;43466,15141;Germany;107;1;UK_Card;1;Master
189;43466,15461;Switzerland;78;0;Moneycard;0;Diners
190;43466,15635;Germany;22;0;UK_Card;1;Master
191;43466,15685;Germany;22;0;UK_Card;1;Master
192;43466,15725;Germany;22;0;UK_Card;1;Master
193;43466,15913;Switzerland;164;1;Moneycard;0;Master
194;43466,16032;Switzerland;203;0;Simplecard;0;Master
195;43466,16084;Switzerland;203;0;Simplecard;0;Master
196;43466,16179;Germany;277;0;UK_Card;0;Diners
197;43466,16212;Germany;277;0;Simplecard;0;Diners
198;43466,1624;Germany;277;0;Simplecard;0;Diners
199;43466,16439;Germany;105;1;Simplecard;0;Master
200;43466,16656;Germany;239;0;UK_Card;1;Visa
201;43466,1667;Germany;239;1;UK_Card;1;Visa
202;43466,16763;Austria;113;0;Moneycard;1;Visa
203;43466,16807;Austria;113;1;UK_Card;1;Visa
204;43466,16905;Austria;379;1;UK_Card;0;Master
205;43466,16998;Austria;175;0;UK_Card;1;Master
206;43466,17117;Switzerland;84;0;Moneycard;1;Master
207;43466,17402;Switzerland;268;0;Simplecard;1;Diners
208;43466,17449;Switzerland;268;0;UK_Card;1;Diners
209;43466,17458;Switzerland;268;1;Simplecard;1;Diners
210;43466,17543;Germany;129;0;Simplecard;0;Master
211;43466,1759;Germany;129;0;Simplecard;0;Master
212;43466,17598;Germany;129;0;Simplecard;0;Master
213;43466,17619;Germany;129;1;UK_Card;0;Master
214;43466,1778;Austria;224;0;Goldcard;0;Master
215;43466,17789;Austria;224;0;UK_Card;0;Master
216;43466,17852;Austria;224;0;Simplecard;0;Master
217;43466,17872;Austria;224;0;UK_Card;0;Master
218;43466,17918;Austria;224;0;UK_Card;0;Master
219;43466,17939;Austria;224;1;UK_Card;0;Master
220;43466,18078;Germany;242;1;UK_Card;0;Master
221;43466,18218;Germany;45;0;Simplecard;0;Master
222;43466,18237;Germany;45;1;UK_Card;0;Master
223;43466,18321;Germany;322;0;UK_Card;0;Visa
224;43466,18382;Germany;322;0;UK_Card;0;Visa
225;43466,18411;Germany;322;0;Moneycard;0;Visa
226;43466,1842;Germany;322;1;UK_Card;0;Visa
227;43466,18492;Austria;164;0;UK_Card;1;Master
228;43466,18512;Austria;164;0;UK_Card;1;Master
229;43466,18517;Austria;164;0;UK_Card;1;Master
230;43466,18553;Austria;164;0;Simplecard;1;Master
231;43466,18608;Austria;164;0;Simplecard;1;Master
232;43466,18657;Austria;164;0;Simplecard;1;Master
233;43466,18714;Austria;164;0;Simplecard;1;Master
234;43466,1886;Germany;158;0;Moneycard;0;Master
235;43466,19061;Germany;140;0;Moneycard;0;Master
236;43466,19153;Switzerland;13;0;Moneycard;0;Diners
237;43466,19162;Switzerland;13;0;UK_Card;0;Diners
238;43466,19264;Germany;85;0;UK_Card;0;Master
239;43466,1927;Germany;85;0;UK_Card;0;Master
240;43466,19311;Germany;85;0;Simplecard;0;Master
241;43466,19367;Germany;85;1;Simplecard;0;Master
242;43466,19447;Germany;197;0;Goldcard;0;Master
243;43466,19559;Switzerland;215;0;Moneycard;0;Master
244;43466,19755;Germany;151;0;UK_Card;0;Master
245;43466,19769;Germany;151;0;Simplecard;0;Master
246;43466,19803;Germany;151;0;Simplecard;0;Master
247;43466,19817;Germany;151;0;Moneycard;0;Master
248;43466,19873;Germany;151;0;UK_Card;0;Master
249;43466,19935;Germany;151;1;Simplecard;0;Master
250;43466,20124;Germany;208;0;UK_Card;0;Visa
251;43466,2013;Germany;208;0;Moneycard;0;Visa
252;43466,20135;Germany;208;0;Goldcard;0;Visa
253;43466,20175;Germany;208;0;UK_Card;0;Visa
254;43466,20205;Germany;208;0;Goldcard;0;Visa
255;43466,20295;Austria;221;0;Simplecard;0;Master
256;43466,20303;Austria;221;0;UK_Card;0;Master
257;43466,20359;Austria;221;0;Simplecard;0;Master
258;43466,20378;Austria;221;1;Goldcard;0;Master
259;43466,20462;Germany;257;0;Goldcard;0;Master
260;43466,20611;Germany;116;0;Moneycard;0;Visa
261;43466,20793;Germany;209;0;UK_Card;1;Master
262;43466,20941;Austria;263;0;Moneycard;1;Visa
263;43466,21007;Austria;263;0;UK_Card;1;Visa
264;43466,21008;Austria;263;1;Simplecard;1;Visa
265;43466,21149;Germany;84;0;Simplecard;0;Master
266;43466,21226;Austria;136;1;UK_Card;1;Master
267;43466,21303;Switzerland;211;0;Goldcard;0;Master
268;43466,21351;Switzerland;211;0;UK_Card;0;Master
269;43466,21362;Switzerland;211;1;UK_Card;0;Master
270;43466,21556;Austria;232;0;UK_Card;0;Visa
271;43466,21559;Austria;232;1;Simplecard;0;Visa
272;43466,21642;Germany;243;1;UK_Card;0;Master
273;43466,21822;Germany;180;0;UK_Card;0;Visa
274;43466,21838;Germany;180;0;UK_Card;0;Visa
275;43466,2198;Austria;175;0;Moneycard;0;Visa
276;43466,2202;Austria;175;0;UK_Card;0;Visa
277;43466,22047;Austria;175;0;Moneycard;0;Visa
278;43466,22083;Austria;175;1;UK_Card;0;Visa
279;43466,22235;Austria;125;1;UK_Card;0;Visa
280;43466,22446;Germany;247;0;Moneycard;1;Master
281;43466,2251;Germany;247;0;Simplecard;1;Master
282;43466,22567;Germany;247;0;UK_Card;1;Master
283;43466,22615;Germany;247;1;UK_Card;1;Master
284;43466,229;Switzerland;246;0;Simplecard;0;Master
285;43466,23105;Germany;117;0;Moneycard;0;Visa
286;43466,23348;Germany;376;1;UK_Card;0;Master
287;43466,23427;Germany;174;1;UK_Card;1;Master
288;43466,23594;Germany;162;0;UK_Card;0;Diners
289;43466,23656;Germany;162;0;UK_Card;0;Diners
290;43466,24001;Switzerland;129;0;Simplecard;0;Diners
291;43466,2409;Switzerland;215;0;Simplecard;0;Master
292;43466,24252;Germany;355;0;UK_Card;0;Diners
293;43466,24301;Germany;355;1;Simplecard;0;Diners
294;43466,24497;Switzerland;135;0;UK_Card;0;Master
295;43466,24534;Switzerland;135;0;UK_Card;0;Master
296;43466,24591;Switzerland;135;0;Simplecard;0;Master
297;43466,24596;Switzerland;135;0;UK_Card;0;Master
298;43466,24597;Switzerland;135;0;UK_Card;0;Master
299;43466,24704;Germany;188;0;UK_Card;0;Diners
300;43466,24705;Germany;188;0;Moneycard;0;Diners
301;43466,24741;Germany;188;0;UK_Card;0;Diners
302;43466,24793;Germany;188;0;UK_Card;0;Diners
303;43466,2484;Germany;188;1;Moneycard;0;Diners
304;43466,25096;Switzerland;192;0;Moneycard;0;Visa
305;43466,25198;Austria;180;0;Simplecard;0;Diners
306;43466,25248;Austria;180;1;Goldcard;0;Diners
307;43466,25369;Switzerland;38;1;Moneycard;0;Diners
308;43466,25903;Germany;144;0;UK_Card;0;Master
309;43466,2614;Germany;23;1;UK_Card;0;Master
310;43466,2637;Austria;146;0;Simplecard;0;Master
311;43466,26392;Austria;146;0;UK_Card;0;Master
312;43466,26414;Austria;146;0;UK_Card;0;Master
313;43466,26421;Austria;146;0;Goldcard;0;Master
314;43466,26626;Germany;202;0;UK_Card;0;Diners
315;43466,26911;Switzerland;211;0;UK_Card;0;Master
316;43466,26946;Switzerland;211;0;UK_Card;0;Master
317;43466,27003;Switzerland;211;0;Moneycard;0;Master
318;43466,27035;Switzerland;211;0;Simplecard;0;Master
319;43466,27052;Switzerland;211;1;Moneycard;0;Master
320;43466,27211;Austria;212;1;UK_Card;0;Master
321;43466,27331;Austria;273;0;UK_Card;1;Diners
322;43466,27344;Austria;273;0;UK_Card;1;Diners
323;43466,27347;Austria;273;0;Simplecard;1;Diners
324;43466,27354;Austria;273;1;UK_Card;1;Diners
325;43466,27564;Switzerland;230;1;UK_Card;0;Master
326;43466,27681;Switzerland;141;0;UK_Card;0;Master
327;43466,27709;Switzerland;141;0;UK_Card;0;Master
328;43466,27873;Germany;135;0;Simplecard;0;Visa
329;43466,27885;Germany;135;0;Moneycard;0;Visa
330;43466,27931;Germany;135;0;UK_Card;0;Visa
331;43466,2805;Switzerland;293;1;UK_Card;0;Visa
332;43466,28179;Switzerland;190;0;UK_Card;0;Master
333;43466,28207;Switzerland;190;0;Moneycard;0;Master
334;43466,28243;Switzerland;190;0;UK_Card;0;Master
335;43466,28294;Switzerland;190;0;UK_Card;0;Master
336;43466,28356;Switzerland;190;1;UK_Card;0;Master
337;43466,28498;Switzerland;336;0;UK_Card;0;Visa
338;43466,28558;Switzerland;336;1;UK_Card;0;Visa
339;43466,28634;Austria;163;0;UK_Card;1;Master
340;43466,2869;Austria;163;1;UK_Card;1;Master
341;43466,28809;Switzerland;350;1;Simplecard;0;Master
342;43466,28949;Switzerland;374;0;UK_Card;0;Diners
343;43466,2895;Switzerland;374;0;Simplecard;0;Diners
344;43466,29054;Austria;176;0;Simplecard;0;Visa
345;43466,29291;Germany;218;0;UK_Card;1;Master
346;43466,29338;Germany;218;0;UK_Card;1;Master
347;43466,29351;Germany;218;1;UK_Card;1;Master
348;43466,29529;Germany;243;0;UK_Card;0;Master
349;43466,29617;Austria;256;0;Moneycard;0;Visa
350;43466,29692;Germany;225;0;Moneycard;0;Diners
351;43466,29781;Germany;53;0;Moneycard;0;Visa
352;43466,29843;Germany;53;1;UK_Card;0;Visa
353;43466,30006;Germany;267;0;Simplecard;0;Master
354;43466,30069;Germany;267;0;Simplecard;0;Master
355;43466,301;Germany;267;0;UK_Card;0;Master
356;43466,30102;Germany;267;0;Simplecard;0;Master
357;43466,30108;Germany;267;0;UK_Card;0;Master
358;43466,30131;Germany;267;1;UK_Card;0;Master
359;43466,3031;Austria;255;0;Simplecard;0;Visa
360;43466,30409;Germany;216;0;UK_Card;0;Master
361;43466,30429;Germany;216;0;Simplecard;0;Master
362;43466,30442;Germany;216;0;UK_Card;0;Master
363;43466,30552;Germany;125;1;UK_Card;0;Master
364;43466,30642;Germany;263;0;UK_Card;1;Visa
365;43466,30685;Germany;263;0;UK_Card;1;Visa
366;43466,30706;Germany;263;0;UK_Card;1;Visa
367;43466,30752;Germany;263;0;Simplecard;1;Visa
368;43466,30787;Germany;263;0;Moneycard;1;Visa
369;43466,30793;Germany;263;0;UK_Card;1;Visa
370;43466,30824;Germany;263;0;Simplecard;1;Visa
371;43466,30847;Germany;263;1;UK_Card;1;Visa
372;43466,30976;Germany;450;0;Simplecard;0;Visa
373;43466,31124;Germany;301;0;UK_Card;0;Diners
374;43466,31142;Germany;301;0;UK_Card;0;Diners
375;43466,31373;Austria;271;1;Goldcard;0;Diners
376;43466,31446;Germany;183;0;Simplecard;0;Master
377;43466,3159;Germany;198;0;Moneycard;0;Visa
378;43466,31728;Germany;19;0;UK_Card;0;Visa
379;43466,31744;Germany;19;0;UK_Card;0;Visa
380;43466,32051;Germany;260;0;UK_Card;1;Visa
381;43466,32058;Germany;260;0;Simplecard;1;Visa
382;43466,32084;Germany;260;0;Moneycard;1;Visa
383;43466,32486;Austria;175;1;Goldcard;0;Master
384;43466,32582;Germany;214;0;UK_Card;0;Visa
385;43466,32647;Germany;214;0;UK_Card;0;Visa
386;43466,32684;Germany;214;0;UK_Card;0;Visa
387;43466,32691;Germany;214;0;Simplecard;0;Visa
388;43466,32699;Germany;214;0;UK_Card;0;Visa
389;43466,32738;Germany;214;0;Simplecard;0;Visa
390;43466,32755;Germany;214;0;UK_Card;0;Visa
391;43466,32803;Germany;214;0;Simplecard;0;Visa
392;43466,3285;Germany;214;0;Moneycard;0;Visa
393;43466,32855;Germany;84;0;UK_Card;1;Visa
394;43466,32909;Germany;256;0;UK_Card;0;Master
395;43466,32953;Germany;147;0;UK_Card;0;Master
396;43466,32999;Switzerland;368;0;Moneycard;1;Master
397;43466,33045;Germany;249;0;Simplecard;0;Master
398;43466,33083;Germany;222;0;UK_Card;1;Master
399;43466,33128;Germany;72;0;Goldcard;0;Master
400;43466,33142;Switzerland;315;0;Simplecard;1;Master
401;43466,33155;Switzerland;199;0;Simplecard;0;Visa
402;43466,33236;Germany;273;0;UK_Card;0;Master
403;43466,3326;Germany;273;0;Simplecard;0;Master
404;43466,33264;Germany;273;0;Simplecard;0;Master
405;43466,33279;Germany;273;0;Moneycard;0;Master
406;43466,33315;Germany;273;0;Simplecard;0;Master
407;43466,33363;Germany;273;1;Moneycard;0;Master
408;43466,33435;Switzerland;162;0;UK_Card;0;Master
409;43466,33459;Switzerland;162;0;Moneycard;0;Master
410;43466,33473;Switzerland;162;0;UK_Card;0;Master
411;43466,33483;Switzerland;162;0;Simplecard;0;Master
412;43466,33495;Switzerland;162;0;Goldcard;0;Master
413;43466,33564;Switzerland;162;0;UK_Card;0;Master
414;43466,33598;Switzerland;162;0;Simplecard;0;Master
415;43466,33647;Switzerland;162;0;UK_Card;0;Master
416;43466,33684;Switzerland;162;0;Moneycard;0;Master
417;43466,33823;Switzerland;142;0;Goldcard;0;Master
418;43466,33836;Switzerland;142;0;Simplecard;0;Master
419;43466,33926;Switzerland;262;0;UK_Card;0;Visa
420;43466,33946;Switzerland;262;0;Simplecard;0;Visa
421;43466,33981;Switzerland;262;0;UK_Card;0;Visa
422;43466,34037;Switzerland;262;1;UK_Card;0;Visa
423;43466,3413;Germany;163;0;Simplecard;1;Diners
424;43466,34155;Germany;163;1;UK_Card;1;Diners
425;43466,34274;Germany;89;1;UK_Card;0;Master
426;43466,34547;Austria;65;0;UK_Card;1;Master
427;43466,34549;Austria;65;1;UK_Card;1;Master
428;43466,34698;Austria;44;1;Moneycard;0;Master
429;43466,34801;Germany;45;0;Simplecard;0;Diners
430;43466,34848;Germany;45;1;UK_Card;0;Diners
431;43466,35222;Germany;169;0;UK_Card;0;Master
432;43466,35235;Germany;169;1;UK_Card;0;Master
433;43466,35311;Germany;212;0;UK_Card;0;Master
434;43466,35493;Germany;269;1;UK_Card;0;Master
435;43466,35587;Germany;201;0;UK_Card;0;Master
436;43466,35618;Germany;201;1;UK_Card;0;Master
437;43466,35747;Germany;212;0;UK_Card;0;Master
438;43466,35799;Germany;212;0;UK_Card;0;Master
439;43466,35839;Germany;212;0;UK_Card;0;Master
440;43466,35892;Germany;212;0;UK_Card;0;Master
441;43466,35927;Germany;212;0;Simplecard;0;Master
442;43466,35954;Germany;212;0;UK_Card;0;Master
443;43466,36002;Germany;212;0;Moneycard;0;Master
444;43466,36073;Germany;118;1;UK_Card;0;Visa
445;43466,36192;Switzerland;229;1;UK_Card;1;Master
446;43466,36382;Austria;249;1;UK_Card;0;Diners
447;43466,36559;Switzerland;260;0;UK_Card;0;Master
448;43466,3664;Germany;240;0;Simplecard;1;Visa
449;43466,36646;Germany;240;0;Simplecard;1;Visa
450;43466,367;Germany;240;1;UK_Card;1;Visa
451;43466,36797;Switzerland;339;0;Simplecard;0;Master
452;43466,3684;Switzerland;339;1;UK_Card;0;Master
453;43466,36953;Germany;44;1;UK_Card;0;Master
454;43466,37032;Germany;154;1;UK_Card;1;Visa
455;43466,37199;Germany;156;0;Moneycard;0;Master
456;43466,37281;Germany;86;1;UK_Card;1;Diners
457;43466,37409;Austria;250;1;UK_Card;0;Master
458;43466,37501;Germany;258;0;Moneycard;0;Master
459;43466,37553;Germany;258;0;UK_Card;0;Master
460;43466,37573;Germany;258;1;UK_Card;0;Master
461;43466,3766;Austria;293;0;UK_Card;0;Master
462;43466,37661;Austria;293;0;UK_Card;0;Master
463;43466,37677;Austria;293;0;UK_Card;0;Master
464;43466,37711;Austria;293;0;Simplecard;0;Master
465;43466,37851;Switzerland;390;0;Simplecard;0;Master
466;43466,37934;Germany;193;1;UK_Card;0;Master
467;43466,38162;Switzerland;147;0;UK_Card;0;Visa
468;43466,38237;Germany;297;0;Simplecard;1;Master
469;43466,383;Germany;297;1;UK_Card;1;Master
470;43466,38644;Germany;308;1;UK_Card;0;Visa
471;43466,38862;Switzerland;223;0;UK_Card;0;Visa
472;43466,38881;Switzerland;223;1;Goldcard;0;Visa
473;43466,38998;Switzerland;258;0;Moneycard;0;Master
474;43466,39006;Switzerland;258;0;UK_Card;0;Master
475;43466,39022;Switzerland;258;1;Simplecard;0;Master
476;43466,39096;Germany;125;0;Simplecard;1;Visa
477;43466,39137;Germany;125;0;UK_Card;1;Visa
478;43466,39177;Germany;125;0;UK_Card;1;Visa
479;43466,39192;Germany;125;0;UK_Card;1;Visa
480;43466,39218;Germany;125;0;UK_Card;1;Visa
481;43466,39225;Germany;125;0;UK_Card;1;Visa
482;43466,39255;Germany;125;0;Moneycard;1;Visa
483;43466,39345;Germany;191;0;UK_Card;0;Master
484;43466,39391;Germany;191;0;UK_Card;0;Master
485;43466,39429;Germany;191;0;Moneycard;0;Master
486;43466,39468;Germany;191;1;UK_Card;0;Master
487;43466,39542;Austria;191;1;UK_Card;0;Master
488;43466,39644;Germany;209;1;UK_Card;0;Master
489;43466,39789;Germany;170;0;Simplecard;0;Diners
490;43466,3981;Germany;170;0;UK_Card;0;Diners
491;43466,39862;Germany;170;0;Moneycard;0;Diners
492;43466,39911;Germany;170;0;UK_Card;0;Diners
493;43466,39916;Germany;170;0;Moneycard;0;Diners
494;43466,39971;Germany;170;0;UK_Card;0;Diners
495;43466,39975;Germany;170;0;UK_Card;0;Diners
496;43466,39975;Germany;170;0;UK_Card;0;Diners
497;43466,40014;Germany;170;1;UK_Card;0;Diners
498;43466,40215;Germany;260;1;UK_Card;0;Master
499;43466,40587;Germany;113;0;UK_Card;0;Visa
